(0,2), (1,2), (0,3), (1,3)
(0,2), (1,2), (0,5), (1,5)
(0,2), (1,2), (0,6), (1,6)
(0,2), (1,2), (0,7), (1,7)
(0,2), (1,2), (0,9), (1,9)
(0,2), (1,2), (0,17), (1,17)
(0,2), (1,2), (0,24), (1,24)
(0,2), (1,2), (0,25), (1,25)
(0,2), (1,2), (0,27), (1,27)
(0,2), (1,2), (0,33), (1,33)
(0,2), (1,2), (0,39), (1,39)
(0,2), (1,2), (0,49), (1,49)
(0,2), (1,2), (0,51), (1,51)
(0,2), (1,2), (0,67), (1,67)
(0,2), (1,2), (0,69), (1,69)
(0,2), (1,2), (0,70), (1,70)
(0,2), (1,2), (0,72), (1,72)
(0,2), (1,2), (0,75), (1,75)
(0,2), (1,2), (0,76), (1,76)
(0,2), (2,2), (0,8), (2,8)
(0,2), (2,2), (0,9), (2,9)
(0,2), (2,2), (0,19), (2,19)
(0,2), (2,2), (0,21), (2,21)
(0,2), (2,2), (0,24), (2,24)
(0,2), (2,2), (0,25), (2,25)
(0,2), (2,2), (0,27), (2,27)
(0,2), (2,2), (0,39), (2,39)
(0,2), (2,2), (0,51), (2,51)
(0,2), (2,2), (0,52), (2,52)
(0,2), (2,2), (0,62), (2,62)
(0,2), (2,2), (0,64), (2,64)
(0,2), (2,2), (0,65), (2,65)
(0,2), (2,2), (0,66), (2,66)
(0,2), (2,2), (0,67), (2,67)
(0,2), (2,2), (0,68), (2,68)
(0,2), (2,2), (0,69), (2,69)
(0,2), (2,2), (0,70), (2,70)
(0,2), (2,2), (0,76), (2,76)
(0,2), (2,2), (0,79), (2,79)
(0,2), (3,2), (0,7), (3,7)
(0,2), (3,2), (0,8), (3,8)
(0,2), (3,2), (0,17), (3,17)
(0,2), (3,2), (0,21), (3,21)
(0,2), (3,2), (0,22), (3,22)
(0,2), (3,2), (0,25), (3,25)
(0,2), (3,2), (0,31), (3,31)
(0,2), (3,2), (0,35), (3,35)
(0,2), (3,2), (0,51), (3,51)
(0,2), (3,2), (0,60), (3,60)
(0,2), (3,2), (0,62), (3,62)
(0,2), (3,2), (0,63), (3,63)
(0,2), (3,2), (0,66), (3,66)
(0,2), (3,2), (0,69), (3,69)
(0,2), (3,2), (0,72), (3,72)
(0,2), (4,2), (0,7), (4,7)
(0,2), (4,2), (0,8), (4,8)
(0,2), (4,2), (0,24), (4,24)
(0,2), (4,2), (0,25), (4,25)
(0,2), (4,2), (0,31), (4,31)
(0,2), (4,2), (0,33), (4,33)
(0,2), (4,2), (0,35), (4,35)
(0,2), (4,2), (0,49), (4,49)
(0,2), (4,2), (0,51), (4,51)
(0,2), (4,2), (0,59), (4,59)
(0,2), (4,2), (0,62), (4,62)
(0,2), (4,2), (0,64), (4,64)
(0,2), (4,2), (0,67), (4,67)
(0,2), (4,2), (0,68), (4,68)
(0,2), (4,2), (0,69), (4,69)
(0,2), (4,2), (0,70), (4,70)
(0,2), (4,2), (0,72), (4,72)
(0,2), (4,2), (0,75), (4,75)
(0,2), (8,2), (0,5), (8,5)
(0,2), (8,2), (0,6), (8,6)
(0,2), (8,2), (0,7), (8,7)
(0,2), (8,2), (0,9), (8,9)
(0,2), (8,2), (0,17), (8,17)
(0,2), (8,2), (0,25), (8,25)
(0,2), (8,2), (0,27), (8,27)
(0,2), (8,2), (0,49), (8,49)
(0,2), (8,2), (0,60), (8,60)
(0,2), (8,2), (0,63), (8,63)
(0,2), (8,2), (0,65), (8,65)
(0,2), (8,2), (0,66), (8,66)
(0,2), (8,2), (0,67), (8,67)
(0,2), (8,2), (0,70), (8,70)
(0,2), (8,2), (0,74), (8,74)
(0,2), (8,2), (0,76), (8,76)
(0,2), (8,2), (0,79), (8,79)
(0,2), (12,2), (0,3), (12,3)
(0,2), (12,2), (0,5), (12,5)
(0,2), (12,2), (0,7), (12,7)
(0,2), (12,2), (0,8), (12,8)
(0,2), (12,2), (0,17), (12,17)
(0,2), (12,2), (0,19), (12,19)
(0,2), (12,2), (0,22), (12,22)
(0,2), (12,2), (0,28), (12,28)
(0,2), (12,2), (0,33), (12,33)
(0,2), (12,2), (0,49), (12,49)
(0,2), (12,2), (0,59), (12,59)
(0,2), (12,2), (0,62), (12,62)
(0,2), (12,2), (0,64), (12,64)
(0,2), (12,2), (0,67), (12,67)
(0,2), (12,2), (0,70), (12,70)
(0,2), (12,2), (0,72), (12,72)
(0,2), (12,2), (0,79), (12,79)
(0,2), (13,2), (0,3), (13,3)
(0,2), (13,2), (0,6), (13,6)
(0,2), (13,2), (0,7), (13,7)
(0,2), (13,2), (0,8), (13,8)
(0,2), (13,2), (0,17), (13,17)
(0,2), (13,2), (0,19), (13,19)
(0,2), (13,2), (0,21), (13,21)
(0,2), (13,2), (0,24), (13,24)
(0,2), (13,2), (0,27), (13,27)
(0,2), (13,2), (0,31), (13,31)
(0,2), (13,2), (0,35), (13,35)
(0,2), (13,2), (0,42), (13,42)
(0,2), (13,2), (0,45), (13,45)
(0,2), (13,2), (0,51), (13,51)
(0,2), (13,2), (0,52), (13,52)
(0,2), (13,2), (0,60), (13,60)
(0,2), (13,2), (0,62), (13,62)
(0,2), (13,2), (0,64), (13,64)
(0,2), (13,2), (0,65), (13,65)
(0,2), (13,2), (0,68), (13,68)
(0,2), (13,2), (0,70), (13,70)
(0,2), (13,2), (0,72), (13,72)
(0,2), (13,2), (0,74), (13,74)
(0,2), (13,2), (0,79), (13,79)
(0,2), (14,2), (0,3), (14,3)
(0,2), (14,2), (0,6), (14,6)
(0,2), (14,2), (0,17), (14,17)
(0,2), (14,2), (0,19), (14,19)
(0,2), (14,2), (0,21), (14,21)
(0,2), (14,2), (0,24), (14,24)
(0,2), (14,2), (0,31), (14,31)
(0,2), (14,2), (0,33), (14,33)
(0,2), (14,2), (0,35), (14,35)
(0,2), (14,2), (0,49), (14,49)
(0,2), (14,2), (0,52), (14,52)
(0,2), (14,2), (0,59), (14,59)
(0,2), (14,2), (0,62), (14,62)
(0,2), (14,2), (0,72), (14,72)
